name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Magic Carpet Ride,Sticker - The 3rd Album,NCT 127,2021-09-17,218146,45,0.065,0.579,0.624,0.0,0.105,-4.85,0.0539,141.852,0.401,4,6,1,spotify:track:6F2wRUS8oe71Hs9O58dMKb,2021
Dive,Perfume - The 1st Mini Album,NCT DOJAEJUNG,2023-04-17,236893,54,0.0727,0.549,0.706,0.0,0.113,-5.421,0.239,81.209,0.734,4,9,0,spotify:track:7MosmUFQt3qNapB3K2zk1x,2023
If I Could Ride a Bike,If I Could Ride a Bike,Park Bird,2019-07-28,203589,60,0.848,0.453,0.14,0.0,0.0903,-10.434,0.0592,75.211,0.392,3,1,1,spotify:track:2nzED6Q3yWuvSQnxw6QTlU,2019
MORE,Jack In The Box,j-hope,2022-07-15,180022,72,0.00537,0.783,0.722,0.00209,0.105,-4.864,0.0357,97.031,0.306,4,2,1,spotify:track:7GARzfC1mwhDuk4t9WOACq,2022
GOT THE THRILLS,READY TO BE,TWICE,2023-03-10,173760,46,0.219,0.713,0.926,0.0,0.248,-1.548,0.131,122.031,0.712,4,4,0,spotify:track:27M6Y8SQpLq0J2wkUBmtur,2023
Can We Go Back,Perfume - The 1st Mini Album,NCT DOJAEJUNG,2023-04-17,203426,57,0.417,0.751,0.689,0.0,0.128,-4.148,0.0476,114.988,0.565,4,8,1,spotify:track:5pclRrU254BhS94sYWeCxt,2023
Run BTS,Proof,BTS,2022-06-10,204939,80,0.0201,0.724,0.818,0.0,0.0358,-3.747,0.168,77.004,0.696,4,8,1,spotify:track:69xohKu8C1fsflYAiSNbwM,2022
Set Me Free Pt.2,Set Me Free Pt.2,Jimin,2023-03-17,200929,81,0.115,0.585,0.815,0.0,0.124,-4.165,0.0565,132.09,0.564,4,0,0,spotify:track:59hBR0BCtJsfIbV9VzCVAp,2023
BLAME IT ON ME,READY TO BE,TWICE,2023-03-10,160893,44,0.177,0.485,0.693,0.0,0.255,-3.109,0.0489,177.813,0.72,4,7,1,spotify:track:6o09JS9bdfhBX49WnmjgWA,2023
April shower,SEVENTEEN 10th Mini Album 'FML',SEVENTEEN,2023-04-24,212786,65,0.109,0.756,0.663,0.0,0.211,-5.051,0.0558,105.965,0.641,4,0,1,spotify:track:7rIXkPCaibFJTs4rKS29OS,2023
Arson,Jack In The Box,j-hope,2022-07-15,159761,72,0.00813,0.938,0.798,7.03e-05,0.146,-3.998,0.103,99.992,0.265,4,1,1,spotify:track:2QWEMqQMJR1KDf6hDjJOs6,2022
Sweet Night,ITAEWON CLASS (Original Television Soundtrack) Pt. 12,V,2020-03-13,214258,75,0.491,0.459,0.339,6.05e-06,0.0892,-7.961,0.0251,92.097,0.146,4,3,1,spotify:track:3Wno87vVBVbSVS2vUUFuKC,2020
Love Song,NCT #127 Neo Zone - The 2nd Album,NCT 127,2020-03-06,215160,51,0.048,0.652,0.783,0.0,0.0866,-3.271,0.143,129.843,0.664,4,1,1,spotify:track:7xH1V8qRKEOCCqIJBvlTva,2020
everythingoes (with Nell),mono.,RM,2018-10-23,222493,61,0.143,0.47,0.722,2.91e-06,0.128,-5.819,0.0303,92.034,0.14,4,5,1,spotify:track:0ZUtat3yQpzMRMJ9Qmz5k0,2018
Nothing,To Let A Good Thing Die,Bruno Major,2020-06-05,162797,77,0.931,0.555,0.27,0.544,0.103,-15.892,0.0888,139.681,0.271,3,2,1,spotify:track:1lORkxEMmsCZqhoxcmk3A3,2020
Still With You,Still With You,Jung Kook,2020-06-05,239905,82,0.0899,0.529,0.469,1.53e-05,0.831,-6.967,0.0358,87.864,0.344,4,1,0,spotify:track:0eFMbKCRw8KByXyWBw8WO7,2020
Rainy Days,Layover,V,2023-08-11,179560,83,0.739,0.633,0.454,0.0,0.148,-8.016,0.0875,74.828,0.282,4,9,0,spotify:track:5ydjxBSUIDn26MFzU3asP4,2023
Closer,ZONE,JIHYO,2023-08-18,155013,37,0.159,0.791,0.866,5.65e-05,0.109,-2.509,0.0977,109.984,0.596,4,5,1,spotify:track:1T0sT2TVNCvc1jqGBs9qTf,2023
Tapestry,To Let A Good Thing Die,Bruno Major,2020-06-05,195562,52,0.848,0.639,0.335,0.0632,0.144,-11.1,0.0749,138.119,0.211,4,1,1,spotify:track:2U2HYuJJfD9WpnJmqg5SDG,2020
My You,My You,Jung Kook,2022-06-13,165070,77,0.421,0.451,0.691,0.0,0.338,-5.395,0.0374,143.997,0.354,4,9,1,spotify:track:0pNFrM5L0te1EXGxveeYiR,2022
Anti-Romantic,The Chaos Chapter: FREEZE,TOMORROW X TOGETHER,2021-05-31,215188,69,0.0509,0.641,0.489,0.0,0.071,-8.668,0.11,142.977,0.206,4,0,0,spotify:track:44tTqUi3xi7E28QLzHVdUA,2021
Best Part (feat. H.E.R.),Freudian,Daniel Caesar,2017-08-25,209831,86,0.808,0.524,0.364,0.0,0.1,-10.209,0.0367,75.24,0.436,4,7,1,spotify:track:1RMJOxR6GRPsBHL8qeC2ux,2017
Slow Dancing (Piano Ver.),Layover,V,2023-09-08,188093,82,0.366,0.609,0.614,0.00108,0.108,-8.154,0.0699,156.019,0.564,4,8,1,spotify:track:7pgbDdy7ax962o9d2xJceV,2023
Designer,2 Baddies - The 4th Album,NCT 127,2022-09-16,237080,50,0.0978,0.706,0.906,0.0,0.111,-3.379,0.0932,92.965,0.517,4,1,1,spotify:track:4axTxw4EXSVSGm6f6vxTdZ,2022
POP!,IM NAYEON,NAYEON,2022-06-24,168106,76,0.0361,0.795,0.859,0.0,0.0321,-2.994,0.0542,96.986,0.356,4,2,1,spotify:track:3lOMJTQTd6J34faYwASc33,2022
MOONLIGHT SUNRISE,READY TO BE,TWICE,2023-03-10,180320,60,0.384,0.747,0.782,2.12e-06,0.0862,-3.255,0.0622,125.062,0.6,4,1,1,spotify:track:21xglza52MZF3At9wsC5HD,2023
OMG,NewJeans 'OMG',NewJeans,2023-01-02,212253,86,0.357,0.804,0.771,3.07e-06,0.108,-4.067,0.0433,126.956,0.739,4,9,0,spotify:track:65FftemJ1DbbZ45DUfHJXE,2023
i swear i'll never leave again,THE REAPER,keshi,2018-11-13,173716,67,0.853,0.569,0.319,0.000151,0.128,-12.85,0.0277,79.997,0.32,4,8,1,spotify:track:5byXSKd7QOHtVMOiptklBD,2018
Mystery of Love,Mystery of Love,Sufjan Stevens,2017-12-01,248960,73,0.94,0.365,0.273,0.431,0.109,-16.526,0.038,132.285,0.238,5,4,0,spotify:track:5GbVzc6Ex5LYlLJqzRQhuy,2017
Still Life (with Anderson .Paak),Indigo,RM,2022-12-02,175328,74,0.277,0.831,0.721,0.0,0.0403,-5.447,0.164,124.007,0.443,4,11,0,spotify:track:3p4N6mBFv42M8dI8SUoPre,2022
Love Me Again,Layover,V,2023-08-11,182293,90,0.183,0.633,0.607,1.38e-06,0.167,-6.182,0.0532,74.029,0.363,4,0,0,spotify:track:2N0SPREDYqILVEFSsWF5N5,2023
Dust,SEVENTEEN 10th Mini Album 'FML',SEVENTEEN,2023-04-24,165320,66,0.301,0.497,0.862,0.0,0.14,-4.456,0.0836,164.904,0.574,4,11,0,spotify:track:7v8v911KfBuFkqXvuDOtNm,2023
WALLFLOWER,READY TO BE,TWICE,2023-03-10,176066,45,0.279,0.798,0.845,2.02e-06,0.112,-3.109,0.0578,111.984,0.616,4,10,0,spotify:track:28TABHQXT7l17BZSR3qF1k,2023
Why Why Why,Why Why Why,Jackson Wang,2022-12-31,159936,53,0.228,0.789,0.608,0.000111,0.149,-7.441,0.112,86.008,0.495,4,8,0,spotify:track:7KJFzhA8d0IpIZLNt367Po,2022
Abyss,Abyss,JIN,2020-12-03,155108,71,0.535,0.434,0.506,0.0,0.163,-5.359,0.0317,143.776,0.346,4,0,1,spotify:track:40BomFCBuJok3OjxM9oG7e,2020
I AM,I've IVE,IVE,2023-04-10,183853,82,0.0115,0.683,0.875,0.0,0.084,-4.866,0.0549,122.002,0.384,4,4,0,spotify:track:70t7Q6AYG6ZgTYmJWcnkUM,2023
My Everything,NCT RESONANCE Pt. 2 - The 2nd Album,NCT,2020-11-23,221240,43,0.869,0.605,0.321,0.0,0.101,-7.742,0.0288,71.981,0.466,3,7,1,spotify:track:7IXi8qEDc9oASO5LTx19nT,2020
Strawberry Sunday,Perfume - The 1st Mini Album,NCT DOJAEJUNG,2023-04-17,178773,55,0.0256,0.686,0.689,0.0,0.114,-3.758,0.094,104.016,0.806,4,1,1,spotify:track:0Ki5UBToUGKXAQp1JxvRDb,2023
Blue & Grey,BE,BTS,2020-11-20,254950,69,0.42,0.547,0.605,0.0,0.125,-6.755,0.0415,121.953,0.364,4,8,1,spotify:track:7Ki0hse0IfXEcXUlpyECbJ,2020
uhgood,mono.,RM,2018-10-23,194384,60,0.00135,0.531,0.56,0.016,0.131,-6.827,0.0566,85.863,0.0942,4,0,1,spotify:track:5u9Pr2CujzeWFZJPALBPqQ,2018
Super,SEVENTEEN 10th Mini Album 'FML',SEVENTEEN,2023-04-24,200386,81,0.162,0.771,0.88,1.41e-06,0.167,-4.091,0.0857,137.018,0.347,4,8,1,spotify:track:3AOf6YEpxQ894FmrwI9k96,2023
Bittersweet (feat. LeeHi),Bittersweet (feat. LeeHi),WONWOO,2021-05-28,174773,69,0.425,0.824,0.68,0.0,0.0849,-6.331,0.0425,110.077,0.772,4,10,0,spotify:track:347PJwH4XqRbeaKaIW9sX3,2021
Love Letter,Strictly Two,Anthony Lazaro,2022-02-25,205956,48,0.839,0.639,0.295,3.28e-06,0.108,-14.605,0.0387,114.875,0.406,3,6,0,spotify:track:3YeGDNOG4gSQe1LOO9vPXG,2022
lovely (with Khalid),lovely (with Khalid),Billie Eilish,2018-04-19,200185,90,0.934,0.351,0.296,0.0,0.095,-10.109,0.0333,115.284,0.12,4,4,0,spotify:track:0u2P5u6lvoDfwTYjAADbn4,2018
WHAT IF,"EXchange2, Pt. 1 (Original Television Soundtrack)",Kang Seung Sik,2022-07-29,200560,33,0.115,0.698,0.892,0.0,0.0915,-3.151,0.0617,125.008,0.827,4,8,0,spotify:track:2uxC0SLe6NMEvhrdytkOfr,2022
Hectic (with Colde),Indigo,RM,2022-12-02,226189,67,0.0189,0.695,0.735,7.8e-05,0.213,-6.352,0.0473,109.999,0.366,4,1,0,spotify:track:3ZCuqvHYhjDlliRH9oCs77,2022
Face-off,FACE,Jimin,2023-03-24,229627,82,0.178,0.689,0.539,1.45e-05,0.106,-7.671,0.048,119.949,0.239,4,2,0,spotify:track:3OdIiWnYRHPYtC313Z0Bwy,2023
F*ck My Life,SEVENTEEN 10th Mini Album 'FML',SEVENTEEN,2023-04-24,202280,70,0.0849,0.736,0.685,0.0,0.0955,-4.762,0.0604,80.022,0.857,4,5,1,spotify:track:3tgWMPOY4stCdKYj5NjrAe,2023
Haegeum,D-DAY,Agust D,2023-04-21,168926,83,0.313,0.697,0.837,0.0,0.471,-2.651,0.304,85.097,0.831,5,7,1,spotify:track:4bjN59DRXFRxBE1g5ne6B1,2023
Safety Zone,Jack In The Box,j-hope,2022-07-15,165340,62,0.561,0.676,0.742,0.0,0.155,-5.017,0.162,77.071,0.694,4,8,1,spotify:track:00I41xsW6SunZDJ5fB8KAd,2022
Like Crazy (English Version),FACE,Jimin,2023-03-24,212253,85,0.00306,0.623,0.755,0.0,0.387,-5.386,0.0415,119.957,0.32,4,7,1,spotify:track:0u8rZGtXJrLtiSe34FPjGG,2023
Pretty U,SEVENTEEN 1ST ALBUM [FIRST ‘LOVE&LETTER’],SEVENTEEN,2016-04-25,207299,69,0.0173,0.642,0.931,0.0,0.0815,-2.82,0.163,155.088,0.884,4,8,1,spotify:track:1117juaaAkSIUsQxTmmcKM,2016
Candy,Candy - Winter Special Mini Album,NCT DREAM,2022-12-16,217066,75,0.0538,0.65,0.964,0.0,0.245,-1.329,0.0348,120.008,0.836,4,1,1,spotify:track:27bIik73QCu8Xzt3xpG1bI,2022
Blue Side (Outro),Hope World,j-hope,2018-03-02,90539,62,0.0149,0.512,0.394,0.901,0.309,-10.202,0.0263,80.522,0.083,4,9,0,spotify:track:20zr2Oef3PVeGRxjmSF5CC,2018
The Astronaut,The Astronaut,JIN,2022-10-28,282463,87,0.00446,0.54,0.761,2.5e-06,0.137,-5.356,0.0311,124.988,0.215,4,5,1,spotify:track:0h7QMc9ZRzA9QJrbEHytn2,2022
moonchild,mono.,RM,2018-10-23,205833,65,0.0258,0.503,0.869,0.0,0.0659,-5.576,0.214,157.975,0.191,4,9,0,spotify:track:6BnciRM9jyEP9cEjvoN5eI,2018
The Truth Untold (feat. Steve Aoki),Love Yourself 轉 'Tear',BTS,2018-05-18,242292,69,0.374,0.571,0.422,0.0,0.127,-7.561,0.0422,113.016,0.169,4,1,0,spotify:track:7DEKa5Z7Cl8s3Y7imb88OM,2018
Coffee Breath,Coffee Breath,Sofia Mills,2017-03-08,163907,69,0.974,0.866,0.205,0.0,0.0986,-13.194,0.0394,101.315,0.183,4,9,1,spotify:track:4jsVLYWHeoEt8UxxFWrWCH,2017
the perfect pair,Beatopia,beabadoobee,2022-07-15,177533,80,0.433,0.634,0.663,0.124,0.102,-6.818,0.0331,146.053,0.6,4,11,1,spotify:track:41P6Tnd8KIHqON0QIydx6a,2022
State Lines,Birthplace,Novo Amor,2018-10-19,208653,77,0.959,0.509,0.31,0.229,0.0963,-10.623,0.0313,137.474,0.151,3,9,1,spotify:track:7CoMBpPTwQi2wPT0U0Nr9b,2018
now i know,maybe i'm better now,Sarah Kang,2021-06-25,263851,49,0.883,0.455,0.242,4.72e-06,0.1,-13.908,0.0528,147.937,0.323,3,1,1,spotify:track:0BhCK7Z9fg4cqu0q0gNtjT,2021
No.2 (with parkjiyoon),Indigo,RM,2022-12-02,193963,67,0.599,0.727,0.619,0.0,0.0801,-8.399,0.0808,94.001,0.549,4,4,1,spotify:track:2sXaFMTkBHYrEgfGJ2y27a,2022
"Snooze (feat. Ryuichi Sakamoto, WOOSUNG of The Rose)",D-DAY,Agust D,2023-04-21,264760,71,0.21,0.761,0.777,0.0,0.0771,-4.68,0.0941,89.959,0.377,4,5,0,spotify:track:4j3M8NrbGSXdMPwEVsnfHE,2023
Christmas Tree,"Our Beloved Summer (Original Television Soundtrack), Pt. 5",V,2021-12-24,209946,77,0.699,0.437,0.384,2.33e-05,0.121,-8.384,0.042,139.009,0.181,4,5,1,spotify:track:186NCtNk1tUYS7c2DxgJ7O,2021
花요일 Blooming Day,Blooming Days - The 2nd Mini Album,EXO-CBX,2018-04-10,199845,58,0.00511,0.735,0.736,0.0,0.165,-3.266,0.277,117.975,0.813,4,4,0,spotify:track:4kmp56RAtXEzHOANS0BaLX,2018
Your Existence,Twenty-Five Twenty-One OST Part 4,Wonstein,2022-02-26,204229,65,0.536,0.418,0.603,2.52e-05,0.11,-9.379,0.204,100.171,0.657,4,7,1,spotify:track:2tmX4T7ODY34NwvQ3DD3MC,2022
D-Day,D-DAY,Agust D,2023-04-21,211373,71,0.294,0.59,0.878,0.0,0.0959,-3.199,0.266,139.934,0.699,5,4,0,spotify:track:22W6wI4hDTjMAYKKBQW9dU,2023
Ordinary,Perfume - The 1st Mini Album,NCT DOJAEJUNG,2023-04-17,198120,49,0.723,0.515,0.272,0.0,0.105,-6.206,0.0374,139.732,0.244,4,2,0,spotify:track:6rfc7xucCv53vPGFkewP8e,2023
To you,SEVENTEEN 9th Mini Album 'Attacca',SEVENTEEN,2021-10-22,225573,70,0.0242,0.575,0.796,0.0,0.0842,-5.152,0.115,99.836,0.492,4,2,1,spotify:track:25osmdhvjltPlN7gI2Javd,2021
Deep Green,Suspension of Disbelief,Christian Kuria,2022-11-29,203181,61,0.0883,0.548,0.644,8.54e-05,0.0834,-5.621,0.026,87.798,0.466,4,2,1,spotify:track:2xGGpmywtvPY3h7JkcwP1E,2022
People,D-2,Agust D,2020-05-22,197000,69,0.0616,0.76,0.682,0.0,0.118,-6.441,0.0371,120.008,0.372,4,1,1,spotify:track:6HDHaCnH2FCSdEwXrJfEVF,2020
DAHLIA,I burn,(G)I-DLE,2021-01-11,190026,57,0.122,0.755,0.821,2.04e-06,0.127,-3.688,0.0416,101.997,0.448,4,1,0,spotify:track:2CxgY4VvTNA0bG2nVtmgPg,2021
Crying Over You ◐ (feat. RM & BEKA),Crying Over You ◐ (feat. RM & BEKA),HONNE,2019-03-27,244859,42,0.0835,0.514,0.652,0.0,0.384,-7.452,0.107,82.501,0.421,4,1,0,spotify:track:3NULjteyVVY9F7WrAXOZIG,2019
Our Summer,The Dream Chapter: STAR,TOMORROW X TOGETHER,2019-03-04,210280,42,0.0028,0.739,0.571,0.0,0.165,-5.537,0.0323,107.98,0.246,4,7,1,spotify:track:1EjwugLrwb3kbcar1HKddN,2019
SDL,D-DAY,Agust D,2023-04-21,171442,69,0.2,0.575,0.854,0.0,0.226,-2.62,0.214,164.029,0.609,4,9,1,spotify:track:2vRoAkwc3UBEPW2udvN0u9,2023
MY BAG,I NEVER DIE,(G)I-DLE,2022-03-14,160520,73,0.0864,0.838,0.823,7.12e-05,0.156,-3.929,0.164,94.024,0.759,4,8,0,spotify:track:1t8sqIScEIP0B4bQzBuI2P,2022
SET ME FREE - ENG,READY TO BE,TWICE,2023-03-10,181680,46,0.127,0.751,0.83,0.0,0.0723,-2.484,0.204,113.098,0.725,4,5,0,spotify:track:63zZufrRDgwcVMUbvbfcJh,2023
